[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":55,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":55,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":56,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":56,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":56,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":56,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":56,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":56,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":54,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":54,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":54,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":54,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":54,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":54,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":72,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":72,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":72,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":72,"warehouse_id":1,"quantity":2,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":72,"warehouse_id":7,"quantity":-2,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":72,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":81,"warehouse_id":3,"quantity":0,"volume":0}
